case_id,concept_name,Prefix,Prefix Length,Next-Feature,Last-Feature
Case 4297,2,2 0 0 0 0 0 0 0 0 0 0 0 0 0,1,1,1
Case 4297,3,2 3 0 0 0 0 0 0 0 0 0 0 0 0,2,2,1
Case 4297,4,2 3 4 0 0 0 0 0 0 0 0 0 0 0,3,3,1
Case 4298,2,2 0 0 0 0 0 0 0 0 0 0 0 0 0,1,2,1
Case 4298,4,2 4 0 0 0 0 0 0 0 0 0 0 0 0,2,3,1
Case 4299,2,2 0 0 0 0 0 0 0 0 0 0 0 0 0,1,1,1
Case 4299,3,2 3 0 0 0 0 0 0 0 0 0 0 0 0,2,2,1
Case 4299,4,2 3 4 0 0 0 0 0 0 0 0 0 0 0,3,2,1
Case 4299,4,2 3 4 4 0 0 0 0 0 0 0 0 0 0,4,3,1
Case 43,2,2 0 0 0 0 0 0 0 0 0 0 0 0 0,1,1,1
Case 43,3,2 3 0 0 0 0 0 0 0 0 0 0 0 0,2,2,1
Case 43,4,2 3 4 0 0 0 0 0 0 0 0 0 0 0,3,3,1
Case 430,2,2 0 0 0 0 0 0 0 0 0 0 0 0 0,1,1,1
Case 430,3,2 3 0 0 0 0 0 0 0 0 0 0 0 0,2,2,1
Case 430,4,2 3 4 0 0 0 0 0 0 0 0 0 0 0,3,3,1
Case 4300,2,2 0 0 0 0 0 0 0 0 0 0 0 0 0,1,1,1
Case 4300,3,2 3 0 0 0 0 0 0 0 0 0 0 0 0,2,6,1
Case 4300,6,2 3 6 0 0 0 0 0 0 0 0 0 0 0,3,6,1
Case 4300,6,2 3 6 6 0 0 0 0 0 0 0 0 0 0,4,2,1
Case 4300,4,2 3 6 6 4 0 0 0 0 0 0 0 0 0,5,3,1
Case 4301,2,2 0 0 0 0 0 0 0 0 0 0 0 0 0,1,1,1
Case 4301,3,2 3 0 0 0 0 0 0 0 0 0 0 0 0,2,6,1
Case 4301,6,2 3 6 0 0 0 0 0 0 0 0 0 0 0,3,2,1
Case 4301,4,2 3 6 4 0 0 0 0 0 0 0 0 0 0,4,3,1
Case 4302,2,2 0 0 0 0 0 0 0 0 0 0 0 0 0,1,1,1
Case 4302,3,2 3 0 0 0 0 0 0 0 0 0 0 0 0,2,2,1
Case 4302,4,2 3 4 0 0 0 0 0 0 0 0 0 0 0,3,3,1
Case 4303,2,2 0 0 0 0 0 0 0 0 0 0 0 0 0,1,1,1
Case 4303,3,2 3 0 0 0 0 0 0 0 0 0 0 0 0,2,2,1
Case 4303,4,2 3 4 0 0 0 0 0 0 0 0 0 0 0,3,1,1
Case 4303,3,2 3 4 3 0 0 0 0 0 0 0 0 0 0,4,2,1
Case 4303,4,2 3 4 3 4 0 0 0 0 0 0 0 0 0,5,3,1
Case 4304,2,2 0 0 0 0 0 0 0 0 0 0 0 0 0,1,1,1
Case 4304,3,2 3 0 0 0 0 0 0 0 0 0 0 0 0,2,1,1
Case 4304,3,2 3 3 0 0 0 0 0 0 0 0 0 0 0,3,2,1
Case 4304,4,2 3 3 4 0 0 0 0 0 0 0 0 0 0,4,3,1
Case 4305,2,2 0 0 0 0 0 0 0 0 0 0 0 0 0,1,1,1
Case 4305,3,2 3 0 0 0 0 0 0 0 0 0 0 0 0,2,6,1
Case 4305,6,2 3 6 0 0 0 0 0 0 0 0 0 0 0,3,2,1
Case 4305,4,2 3 6 4 0 0 0 0 0 0 0 0 0 0,4,3,1
Case 4306,2,2 0 0 0 0 0 0 0 0 0 0 0 0 0,1,1,1
Case 4306,3,2 3 0 0 0 0 0 0 0 0 0 0 0 0,2,2,1
Case 4306,4,2 3 4 0 0 0 0 0 0 0 0 0 0 0,3,3,1
Case 4307,2,2 0 0 0 0 0 0 0 0 0 0 0 0 0,1,1,1
Case 4307,3,2 3 0 0 0 0 0 0 0 0 0 0 0 0,2,2,1
Case 4307,4,2 3 4 0 0 0 0 0 0 0 0 0 0 0,3,3,1
Case 4308,2,2 0 0 0 0 0 0 0 0 0 0 0 0 0,1,1,1
Case 4308,3,2 3 0 0 0 0 0 0 0 0 0 0 0 0,2,2,1
Case 4308,4,2 3 4 0 0 0 0 0 0 0 0 0 0 0,3,3,1
