case_id,concept_name,Prefix,Prefix Length,Next-Feature,Last-Feature
Case 1,2,2 0 0 0 0 0 0 0 0 0 0 0 0 0,1,1,1
Case 1,3,2 3 0 0 0 0 0 0 0 0 0 0 0 0,2,1,1
Case 1,3,2 3 3 0 0 0 0 0 0 0 0 0 0 0,3,2,1
Case 1,4,2 3 3 4 0 0 0 0 0 0 0 0 0 0,4,3,1
Case 10,2,2 0 0 0 0 0 0 0 0 0 0 0 0 0,1,1,1
Case 10,3,2 3 0 0 0 0 0 0 0 0 0 0 0 0,2,2,1
Case 10,4,2 3 4 0 0 0 0 0 0 0 0 0 0 0,3,3,1
Case 100,2,2 0 0 0 0 0 0 0 0 0 0 0 0 0,1,1,1
Case 100,3,2 3 0 0 0 0 0 0 0 0 0 0 0 0,2,4,1
Case 100,5,2 3 5 0 0 0 0 0 0 0 0 0 0 0,3,2,1
Case 100,4,2 3 5 4 0 0 0 0 0 0 0 0 0 0,4,3,1
Case 1000,2,2 0 0 0 0 0 0 0 0 0 0 0 0 0,1,5,1
Case 1000,2,2 2 0 0 0 0 0 0 0 0 0 0 0 0,2,1,1
Case 1000,3,2 2 3 0 0 0 0 0 0 0 0 0 0 0,3,2,1
Case 1000,4,2 2 3 4 0 0 0 0 0 0 0 0 0 0,4,3,1
Case 1001,2,2 0 0 0 0 0 0 0 0 0 0 0 0 0,1,1,1
Case 1001,3,2 3 0 0 0 0 0 0 0 0 0 0 0 0,2,2,1
Case 1001,4,2 3 4 0 0 0 0 0 0 0 0 0 0 0,3,3,1
Case 1002,2,2 0 0 0 0 0 0 0 0 0 0 0 0 0,1,1,1
Case 1002,3,2 3 0 0 0 0 0 0 0 0 0 0 0 0,2,2,1
Case 1002,4,2 3 4 0 0 0 0 0 0 0 0 0 0 0,3,3,1
Case 1003,2,2 0 0 0 0 0 0 0 0 0 0 0 0 0,1,1,1
Case 1003,3,2 3 0 0 0 0 0 0 0 0 0 0 0 0,2,2,1
Case 1003,4,2 3 4 0 0 0 0 0 0 0 0 0 0 0,3,3,1
Case 1004,2,2 0 0 0 0 0 0 0 0 0 0 0 0 0,1,1,1
Case 1004,3,2 3 0 0 0 0 0 0 0 0 0 0 0 0,2,2,1
Case 1004,4,2 3 4 0 0 0 0 0 0 0 0 0 0 0,3,3,1
Case 1005,2,2 0 0 0 0 0 0 0 0 0 0 0 0 0,1,1,1
Case 1005,3,2 3 0 0 0 0 0 0 0 0 0 0 0 0,2,2,1
Case 1005,4,2 3 4 0 0 0 0 0 0 0 0 0 0 0,3,3,1
Case 1006,2,2 0 0 0 0 0 0 0 0 0 0 0 0 0,1,1,1
Case 1006,3,2 3 0 0 0 0 0 0 0 0 0 0 0 0,2,2,1
Case 1006,4,2 3 4 0 0 0 0 0 0 0 0 0 0 0,3,3,1
Case 1007,2,2 0 0 0 0 0 0 0 0 0 0 0 0 0,1,1,1
Case 1007,3,2 3 0 0 0 0 0 0 0 0 0 0 0 0,2,2,1
Case 1007,4,2 3 4 0 0 0 0 0 0 0 0 0 0 0,3,3,1
Case 1008,2,2 0 0 0 0 0 0 0 0 0 0 0 0 0,1,1,1
Case 1008,3,2 3 0 0 0 0 0 0 0 0 0 0 0 0,2,2,1
Case 1008,4,2 3 4 0 0 0 0 0 0 0 0 0 0 0,3,3,1
Case 1009,2,2 0 0 0 0 0 0 0 0 0 0 0 0 0,1,1,1
Case 1009,3,2 3 0 0 0 0 0 0 0 0 0 0 0 0,2,6,1
Case 1009,6,2 3 6 0 0 0 0 0 0 0 0 0 0 0,3,2,1
Case 1009,4,2 3 6 4 0 0 0 0 0 0 0 0 0 0,4,3,1
Case 101,7,7 0 0 0 0 0 0 0 0 0 0 0 0 0,1,5,1
Case 101,2,7 2 0 0 0 0 0 0 0 0 0 0 0 0,2,1,1
Case 101,3,7 2 3 0 0 0 0 0 0 0 0 0 0 0,3,2,1
Case 101,4,7 2 3 4 0 0 0 0 0 0 0 0 0 0,4,3,1
Case 1010,2,2 0 0 0 0 0 0 0 0 0 0 0 0 0,1,1,1
Case 1010,3,2 3 0 0 0 0 0 0 0 0 0 0 0 0,2,4,1
Case 1010,5,2 3 5 0 0 0 0 0 0 0 0 0 0 0,3,2,1
Case 1010,4,2 3 5 4 0 0 0 0 0 0 0 0 0 0,4,3,1
Case 1011,7,7 0 0 0 0 0 0 0 0 0 0 0 0 0,1,5,1
Case 1011,2,7 2 0 0 0 0 0 0 0 0 0 0 0 0,2,1,1
Case 1011,3,7 2 3 0 0 0 0 0 0 0 0 0 0 0,3,2,1
Case 1011,4,7 2 3 4 0 0 0 0 0 0 0 0 0 0,4,3,1
Case 1012,2,2 0 0 0 0 0 0 0 0 0 0 0 0 0,1,1,1
Case 1012,3,2 3 0 0 0 0 0 0 0 0 0 0 0 0,2,2,1
Case 1012,4,2 3 4 0 0 0 0 0 0 0 0 0 0 0,3,3,1
