case_id,concept_name,Prefix,Prefix Length,Next-Feature,Last-Feature
Case 3608,2,2 0 0 0 0 0 0 0 0 0 0 0 0 0,1,1,1
Case 3608,3,2 3 0 0 0 0 0 0 0 0 0 0 0 0,2,2,1
Case 3608,4,2 3 4 0 0 0 0 0 0 0 0 0 0 0,3,3,1
Case 3608,5,2 3 4 5 0 0 0 0 0 0 0 0 0 0,4,3,1
Case 2748,2,2 0 0 0 0 0 0 0 0 0 0 0 0 0,1,1,1
Case 2748,3,2 3 0 0 0 0 0 0 0 0 0 0 0 0,2,2,1
Case 2748,4,2 3 4 0 0 0 0 0 0 0 0 0 0 0,3,3,1
Case 4284,2,2 0 0 0 0 0 0 0 0 0 0 0 0 0,1,4,1
Case 4284,2,2 2 0 0 0 0 0 0 0 0 0 0 0 0,2,1,1
Case 4284,3,2 2 3 0 0 0 0 0 0 0 0 0 0 0,3,2,1
Case 4284,4,2 2 3 4 0 0 0 0 0 0 0 0 0 0,4,1,1
Case 4284,3,2 2 3 4 3 0 0 0 0 0 0 0 0 0,5,2,1
Case 4284,4,2 2 3 4 3 4 0 0 0 0 0 0 0 0,6,3,1
Case 4284,5,2 2 3 4 3 4 5 0 0 0 0 0 0 0,7,3,1
Case 1534,2,2 0 0 0 0 0 0 0 0 0 0 0 0 0,1,1,1
Case 1534,3,2 3 0 0 0 0 0 0 0 0 0 0 0 0,2,2,1
Case 1534,4,2 3 4 0 0 0 0 0 0 0 0 0 0 0,3,3,1
Case 1534,5,2 3 4 5 0 0 0 0 0 0 0 0 0 0,4,3,1
Case 406,2,2 0 0 0 0 0 0 0 0 0 0 0 0 0,1,4,1
Case 406,2,2 2 0 0 0 0 0 0 0 0 0 0 0 0,2,1,1
Case 406,3,2 2 3 0 0 0 0 0 0 0 0 0 0 0,3,2,1
Case 406,4,2 2 3 4 0 0 0 0 0 0 0 0 0 0,4,3,1
Case 4539,2,2 0 0 0 0 0 0 0 0 0 0 0 0 0,1,4,1
Case 4539,2,2 2 0 0 0 0 0 0 0 0 0 0 0 0,2,1,1
Case 4539,3,2 2 3 0 0 0 0 0 0 0 0 0 0 0,3,2,1
Case 4539,4,2 2 3 4 0 0 0 0 0 0 0 0 0 0,4,3,1
Case 2118,2,2 0 0 0 0 0 0 0 0 0 0 0 0 0,1,1,1
Case 2118,3,2 3 0 0 0 0 0 0 0 0 0 0 0 0,2,2,1
Case 2118,4,2 3 4 0 0 0 0 0 0 0 0 0 0 0,3,3,1
Case 3625,2,2 0 0 0 0 0 0 0 0 0 0 0 0 0,1,4,1
Case 3625,2,2 2 0 0 0 0 0 0 0 0 0 0 0 0,2,1,1
Case 3625,3,2 2 3 0 0 0 0 0 0 0 0 0 0 0,3,2,1
Case 3625,4,2 2 3 4 0 0 0 0 0 0 0 0 0 0,4,3,1
Case 1621,2,2 0 0 0 0 0 0 0 0 0 0 0 0 0,1,1,1
Case 1621,3,2 3 0 0 0 0 0 0 0 0 0 0 0 0,2,2,1
Case 1621,4,2 3 4 0 0 0 0 0 0 0 0 0 0 0,3,3,1
Case 390,2,2 0 0 0 0 0 0 0 0 0 0 0 0 0,1,1,1
Case 390,3,2 3 0 0 0 0 0 0 0 0 0 0 0 0,2,2,1
Case 390,4,2 3 4 0 0 0 0 0 0 0 0 0 0 0,3,3,1
Case 1941,2,2 0 0 0 0 0 0 0 0 0 0 0 0 0,1,1,1
Case 1941,3,2 3 0 0 0 0 0 0 0 0 0 0 0 0,2,2,1
Case 1941,4,2 3 4 0 0 0 0 0 0 0 0 0 0 0,3,3,1
Case 404,2,2 0 0 0 0 0 0 0 0 0 0 0 0 0,1,1,1
Case 404,3,2 3 0 0 0 0 0 0 0 0 0 0 0 0,2,2,1
Case 404,4,2 3 4 0 0 0 0 0 0 0 0 0 0 0,3,3,1
Case 791,2,2 0 0 0 0 0 0 0 0 0 0 0 0 0,1,1,1
Case 791,3,2 3 0 0 0 0 0 0 0 0 0 0 0 0,2,2,1
Case 791,4,2 3 4 0 0 0 0 0 0 0 0 0 0 0,3,3,1
Case 1485,2,2 0 0 0 0 0 0 0 0 0 0 0 0 0,1,1,1
Case 1485,3,2 3 0 0 0 0 0 0 0 0 0 0 0 0,2,2,1
Case 1485,4,2 3 4 0 0 0 0 0 0 0 0 0 0 0,3,3,1
Case 1000,2,2 0 0 0 0 0 0 0 0 0 0 0 0 0,1,4,1
Case 1000,2,2 2 0 0 0 0 0 0 0 0 0 0 0 0,2,1,1
Case 1000,3,2 2 3 0 0 0 0 0 0 0 0 0 0 0,3,2,1
Case 1000,4,2 2 3 4 0 0 0 0 0 0 0 0 0 0,4,3,1
Case 2915,2,2 0 0 0 0 0 0 0 0 0 0 0 0 0,1,4,1
Case 2915,2,2 2 0 0 0 0 0 0 0 0 0 0 0 0,2,1,1
Case 2915,3,2 2 3 0 0 0 0 0 0 0 0 0 0 0,3,2,1
Case 2915,4,2 2 3 4 0 0 0 0 0 0 0 0 0 0,4,3,1
Case 1768,2,2 0 0 0 0 0 0 0 0 0 0 0 0 0,1,1,1
Case 1768,3,2 3 0 0 0 0 0 0 0 0 0 0 0 0,2,2,1
Case 1768,4,2 3 4 0 0 0 0 0 0 0 0 0 0 0,3,3,1
Case 1006,2,2 0 0 0 0 0 0 0 0 0 0 0 0 0,1,1,1
Case 1006,3,2 3 0 0 0 0 0 0 0 0 0 0 0 0,2,2,1
Case 1006,4,2 3 4 0 0 0 0 0 0 0 0 0 0 0,3,3,1
Case 2742,2,2 0 0 0 0 0 0 0 0 0 0 0 0 0,1,1,1
Case 2742,3,2 3 0 0 0 0 0 0 0 0 0 0 0 0,2,1,1
Case 2742,3,2 3 3 0 0 0 0 0 0 0 0 0 0 0,3,2,1
Case 2742,4,2 3 3 4 0 0 0 0 0 0 0 0 0 0,4,3,1
Case 1223,2,2 0 0 0 0 0 0 0 0 0 0 0 0 0,1,1,1
Case 1223,3,2 3 0 0 0 0 0 0 0 0 0 0 0 0,2,2,1
Case 1223,4,2 3 4 0 0 0 0 0 0 0 0 0 0 0,3,1,1
Case 1223,3,2 3 4 3 0 0 0 0 0 0 0 0 0 0,4,2,1
Case 1223,4,2 3 4 3 4 0 0 0 0 0 0 0 0 0,5,3,1
Case 1703,2,2 0 0 0 0 0 0 0 0 0 0 0 0 0,1,1,1
Case 1703,3,2 3 0 0 0 0 0 0 0 0 0 0 0 0,2,2,1
Case 1703,4,2 3 4 0 0 0 0 0 0 0 0 0 0 0,3,3,1
Case 4505,2,2 0 0 0 0 0 0 0 0 0 0 0 0 0,1,1,1
Case 4505,3,2 3 0 0 0 0 0 0 0 0 0 0 0 0,2,2,1
Case 4505,4,2 3 4 0 0 0 0 0 0 0 0 0 0 0,3,3,1
Case 2441,2,2 0 0 0 0 0 0 0 0 0 0 0 0 0,1,4,1
Case 2441,2,2 2 0 0 0 0 0 0 0 0 0 0 0 0,2,1,1
Case 2441,3,2 2 3 0 0 0 0 0 0 0 0 0 0 0,3,2,1
Case 2441,4,2 2 3 4 0 0 0 0 0 0 0 0 0 0,4,3,1
Case 588,2,2 0 0 0 0 0 0 0 0 0 0 0 0 0,1,1,1
Case 588,3,2 3 0 0 0 0 0 0 0 0 0 0 0 0,2,2,1
Case 588,4,2 3 4 0 0 0 0 0 0 0 0 0 0 0,3,3,1
Case 1400,2,2 0 0 0 0 0 0 0 0 0 0 0 0 0,1,1,1
Case 1400,3,2 3 0 0 0 0 0 0 0 0 0 0 0 0,2,2,1
Case 1400,4,2 3 4 0 0 0 0 0 0 0 0 0 0 0,3,3,1
Case 1196,2,2 0 0 0 0 0 0 0 0 0 0 0 0 0,1,1,1
Case 1196,3,2 3 0 0 0 0 0 0 0 0 0 0 0 0,2,2,1
Case 1196,4,2 3 4 0 0 0 0 0 0 0 0 0 0 0,3,3,1
Case 1468,2,2 0 0 0 0 0 0 0 0 0 0 0 0 0,1,4,1
Case 1468,2,2 2 0 0 0 0 0 0 0 0 0 0 0 0,2,1,1
Case 1468,3,2 2 3 0 0 0 0 0 0 0 0 0 0 0,3,2,1
Case 1468,4,2 2 3 4 0 0 0 0 0 0 0 0 0 0,4,3,1
Case 189,2,2 0 0 0 0 0 0 0 0 0 0 0 0 0,1,4,1
Case 189,2,2 2 0 0 0 0 0 0 0 0 0 0 0 0,2,1,1
Case 189,3,2 2 3 0 0 0 0 0 0 0 0 0 0 0,3,2,1
Case 189,4,2 2 3 4 0 0 0 0 0 0 0 0 0 0,4,3,1
Case 4378,2,2 0 0 0 0 0 0 0 0 0 0 0 0 0,1,4,1
Case 4378,2,2 2 0 0 0 0 0 0 0 0 0 0 0 0,2,1,1
Case 4378,3,2 2 3 0 0 0 0 0 0 0 0 0 0 0,3,5,1
Case 4378,6,2 2 3 6 0 0 0 0 0 0 0 0 0 0,4,1,1
Case 4378,3,2 2 3 6 3 0 0 0 0 0 0 0 0 0,5,2,1
Case 4378,4,2 2 3 6 3 4 0 0 0 0 0 0 0 0,6,3,1
Case 3806,2,2 0 0 0 0 0 0 0 0 0 0 0 0 0,1,1,1
Case 3806,3,2 3 0 0 0 0 0 0 0 0 0 0 0 0,2,5,1
Case 3806,6,2 3 6 0 0 0 0 0 0 0 0 0 0 0,3,1,1
Case 3806,3,2 3 6 3 0 0 0 0 0 0 0 0 0 0,4,2,1
Case 3806,4,2 3 6 3 4 0 0 0 0 0 0 0 0 0,5,2,1
Case 3806,4,2 3 6 3 4 4 0 0 0 0 0 0 0 0,6,3,1
Case 1030,2,2 0 0 0 0 0 0 0 0 0 0 0 0 0,1,4,1
Case 1030,2,2 2 0 0 0 0 0 0 0 0 0 0 0 0,2,1,1
Case 1030,3,2 2 3 0 0 0 0 0 0 0 0 0 0 0,3,6,1
Case 1030,7,2 2 3 7 0 0 0 0 0 0 0 0 0 0,4,2,1
Case 1030,4,2 2 3 7 4 0 0 0 0 0 0 0 0 0,5,3,1
Case 1798,2,2 0 0 0 0 0 0 0 0 0 0 0 0 0,1,1,1
Case 1798,3,2 3 0 0 0 0 0 0 0 0 0 0 0 0,2,6,1
Case 1798,7,2 3 7 0 0 0 0 0 0 0 0 0 0 0,3,2,1
Case 1798,4,2 3 7 4 0 0 0 0 0 0 0 0 0 0,4,3,1
Case 2088,2,2 0 0 0 0 0 0 0 0 0 0 0 0 0,1,1,1
Case 2088,3,2 3 0 0 0 0 0 0 0 0 0 0 0 0,2,6,1
Case 2088,7,2 3 7 0 0 0 0 0 0 0 0 0 0 0,3,2,1
Case 2088,4,2 3 7 4 0 0 0 0 0 0 0 0 0 0,4,3,1
Case 765,2,2 0 0 0 0 0 0 0 0 0 0 0 0 0,1,1,1
Case 765,3,2 3 0 0 0 0 0 0 0 0 0 0 0 0,2,2,1
Case 765,4,2 3 4 0 0 0 0 0 0 0 0 0 0 0,3,3,1
Case 2131,2,2 0 0 0 0 0 0 0 0 0 0 0 0 0,1,1,1
Case 2131,3,2 3 0 0 0 0 0 0 0 0 0 0 0 0,2,2,1
Case 2131,4,2 3 4 0 0 0 0 0 0 0 0 0 0 0,3,3,1
Case 1191,2,2 0 0 0 0 0 0 0 0 0 0 0 0 0,1,1,1
Case 1191,3,2 3 0 0 0 0 0 0 0 0 0 0 0 0,2,5,1
Case 1191,6,2 3 6 0 0 0 0 0 0 0 0 0 0 0,3,1,1
Case 1191,3,2 3 6 3 0 0 0 0 0 0 0 0 0 0,4,2,1
Case 1191,4,2 3 6 3 4 0 0 0 0 0 0 0 0 0,5,3,1
Case 81,2,2 0 0 0 0 0 0 0 0 0 0 0 0 0,1,1,1
Case 81,3,2 3 0 0 0 0 0 0 0 0 0 0 0 0,2,5,1
Case 81,6,2 3 6 0 0 0 0 0 0 0 0 0 0 0,3,5,1
Case 81,6,2 3 6 6 0 0 0 0 0 0 0 0 0 0,4,1,1
Case 81,3,2 3 6 6 3 0 0 0 0 0 0 0 0 0,5,2,1
Case 81,4,2 3 6 6 3 4 0 0 0 0 0 0 0 0,6,3,1
Case 3918,2,2 0 0 0 0 0 0 0 0 0 0 0 0 0,1,1,1
Case 3918,3,2 3 0 0 0 0 0 0 0 0 0 0 0 0,2,2,1
Case 3918,4,2 3 4 0 0 0 0 0 0 0 0 0 0 0,3,3,1
Case 899,2,2 0 0 0 0 0 0 0 0 0 0 0 0 0,1,1,1
Case 899,3,2 3 0 0 0 0 0 0 0 0 0 0 0 0,2,6,1
Case 899,7,2 3 7 0 0 0 0 0 0 0 0 0 0 0,3,2,1
Case 899,4,2 3 7 4 0 0 0 0 0 0 0 0 0 0,4,1,1
Case 899,3,2 3 7 4 3 0 0 0 0 0 0 0 0 0,5,6,1
Case 899,7,2 3 7 4 3 7 0 0 0 0 0 0 0 0,6,2,1
Case 899,4,2 3 7 4 3 7 4 0 0 0 0 0 0 0,7,3,1
Case 1130,2,2 0 0 0 0 0 0 0 0 0 0 0 0 0,1,1,1
Case 1130,3,2 3 0 0 0 0 0 0 0 0 0 0 0 0,2,2,1
Case 1130,4,2 3 4 0 0 0 0 0 0 0 0 0 0 0,3,3,1
Case 3849,2,2 0 0 0 0 0 0 0 0 0 0 0 0 0,1,1,1
Case 3849,3,2 3 0 0 0 0 0 0 0 0 0 0 0 0,2,2,1
Case 3849,4,2 3 4 0 0 0 0 0 0 0 0 0 0 0,3,2,1
Case 3849,4,2 3 4 4 0 0 0 0 0 0 0 0 0 0,4,3,1
Case 360,2,2 0 0 0 0 0 0 0 0 0 0 0 0 0,1,1,1
Case 360,3,2 3 0 0 0 0 0 0 0 0 0 0 0 0,2,2,1
Case 360,4,2 3 4 0 0 0 0 0 0 0 0 0 0 0,3,3,1
Case 3238,2,2 0 0 0 0 0 0 0 0 0 0 0 0 0,1,1,1
Case 3238,3,2 3 0 0 0 0 0 0 0 0 0 0 0 0,2,5,1
Case 3238,6,2 3 6 0 0 0 0 0 0 0 0 0 0 0,3,1,1
Case 3238,3,2 3 6 3 0 0 0 0 0 0 0 0 0 0,4,2,1
Case 3238,4,2 3 6 3 4 0 0 0 0 0 0 0 0 0,5,3,1
Case 3238,5,2 3 6 3 4 5 0 0 0 0 0 0 0 0,6,3,1
Case 10,2,2 0 0 0 0 0 0 0 0 0 0 0 0 0,1,1,1
Case 10,3,2 3 0 0 0 0 0 0 0 0 0 0 0 0,2,2,1
Case 10,4,2 3 4 0 0 0 0 0 0 0 0 0 0 0,3,3,1
Case 864,2,2 0 0 0 0 0 0 0 0 0 0 0 0 0,1,1,1
Case 864,3,2 3 0 0 0 0 0 0 0 0 0 0 0 0,2,5,1
Case 864,6,2 3 6 0 0 0 0 0 0 0 0 0 0 0,3,1,1
Case 864,3,2 3 6 3 0 0 0 0 0 0 0 0 0 0,4,2,1
Case 864,4,2 3 6 3 4 0 0 0 0 0 0 0 0 0,5,3,1
Case 4290,2,2 0 0 0 0 0 0 0 0 0 0 0 0 0,1,1,1
Case 4290,3,2 3 0 0 0 0 0 0 0 0 0 0 0 0,2,2,1
Case 4290,4,2 3 4 0 0 0 0 0 0 0 0 0 0 0,3,3,1
Case 2817,2,2 0 0 0 0 0 0 0 0 0 0 0 0 0,1,1,1
Case 2817,3,2 3 0 0 0 0 0 0 0 0 0 0 0 0,2,2,1
Case 2817,4,2 3 4 0 0 0 0 0 0 0 0 0 0 0,3,3,1
Case 3168,2,2 0 0 0 0 0 0 0 0 0 0 0 0 0,1,1,1
Case 3168,3,2 3 0 0 0 0 0 0 0 0 0 0 0 0,2,2,1
Case 3168,4,2 3 4 0 0 0 0 0 0 0 0 0 0 0,3,3,1
Case 151,2,2 0 0 0 0 0 0 0 0 0 0 0 0 0,1,1,1
Case 151,3,2 3 0 0 0 0 0 0 0 0 0 0 0 0,2,2,1
Case 151,4,2 3 4 0 0 0 0 0 0 0 0 0 0 0,3,3,1
Case 1652,2,2 0 0 0 0 0 0 0 0 0 0 0 0 0,1,4,1
Case 1652,2,2 2 0 0 0 0 0 0 0 0 0 0 0 0,2,1,1
Case 1652,3,2 2 3 0 0 0 0 0 0 0 0 0 0 0,3,2,1
Case 1652,4,2 2 3 4 0 0 0 0 0 0 0 0 0 0,4,3,1
Case 166,2,2 0 0 0 0 0 0 0 0 0 0 0 0 0,1,1,1
Case 166,3,2 3 0 0 0 0 0 0 0 0 0 0 0 0,2,2,1
Case 166,4,2 3 4 0 0 0 0 0 0 0 0 0 0 0,3,3,1
